level,region,obstacle,visibility,feedback
2,r1,light,high,yes
1,r2,empty,low,yes
2,r2,empty,low,yes
2,r2,empty,low,yes
2,r2,light,high,yes
2,r1,empty,high,yes
2,r2,empty,low,yes
2,r2,empty,low,yes
1,r1,light,high,yes
2,r1,light,high,yes
2,r2,empty,low,yes
2,r1,empty,high,yes
2,r1,light,high,yes
2,r2,empty,low,yes
2,r1,empty,low,yes
2,r2,empty,low,yes
2,r1,empty,low,yes
2,r2,empty,high,yes
1,r2,empty,low,yes
2,r2,empty,low,yes
2,r1,empty,low,yes
2,r1,empty,high,yes
2,r2,empty,low,yes
2,r2,empty,low,yes
2,r2,empty,high,yes
2,r2,empty,high,yes
2,r2,empty,low,no
2,r1,light,high,yes
2,r1,busy,high,no
2,r1,empty,high,yes
2,r2,empty,low,yes
2,r2,empty,high,yes
2,r1,light,high,yes
1,r1,empty,low,yes
2,r1,empty,low,yes
2,r2,empty,low,yes
2,r2,empty,high,yes
2,r1,light,high,yes
1,r2,busy,low,no
2,r2,busy,low,no
2,r2,empty,low,yes
2,r2,empty,low,yes
1,r1,empty,high,yes
2,r1,empty,high,yes
2,r1,light,high,yes
2,r2,busy,low,no
2,r2,empty,low,yes
2,r2,empty,low,yes
2,r1,busy,low,no
2,r1,busy,high,no
2,r2,empty,high,no
2,r2,light,high,yes
2,r2,light,low,no
2,r2,empty,low,yes
2,r1,empty,high,yes
2,r2,empty,low,yes
2,r2,empty,low,yes
2,r1,light,high,yes
2,r2,light,low,no
2,r2,empty,low,yes
2,r2,empty,low,yes
2,r2,light,low,no
2,r2,empty,low,yes
2,r2,empty,low,yes
2,r1,empty,high,yes
2,r2,busy,low,no
2,r1,empty,high,yes
2,r2,busy,low,no
2,r2,empty,low,yes
2,r1,busy,low,no
2,r1,empty,low,yes
2,r2,empty,low,yes
2,r2,empty,low,yes
2,r2,empty,low,yes
2,r2,busy,low,yes
2,r2,empty,low,yes
2,r1,light,high,yes
2,r1,light,low,no
2,r1,empty,low,yes
2,r2,busy,high,no
2,r2,light,high,yes
2,r1,empty,low,no
2,r1,light,low,no
2,r1,empty,low,yes
2,r1,empty,high,yes
2,r2,empty,low,yes
2,r2,busy,low,no
2,r2,empty,low,yes
2,r1,light,high,yes
2,r2,empty,low,yes
2,r1,busy,high,no
2,r2,empty,low,yes
2,r1,busy,low,no
2,r1,empty,low,yes
2,r2,busy,low,no
2,r2,empty,low,yes
2,r1,light,high,yes
2,r1,light,high,yes
2,r2,light,low,no
2,r1,light,low,no
2,r1,empty,low,yes
2,r1,empty,low,yes
2,r2,light,low,no
2,r2,empty,low,yes
2,r1,empty,high,yes
2,r1,empty,low,yes
2,r1,busy,low,no
2,r2,empty,low,yes
2,r1,light,high,yes
2,r2,empty,low,yes
2,r1,empty,low,yes
2,r2,busy,low,no
2,r2,empty,low,yes
2,r1,light,high,yes
2,r2,busy,high,no
2,r2,light,high,yes
2,r2,busy,low,no
2,r2,empty,low,yes
2,r2,empty,low,yes
2,r2,busy,low,no
2,r2,empty,high,yes
2,r2,busy,low,no
2,r2,empty,low,yes
2,r1,busy,high,no
2,r1,empty,high,yes
1,r2,empty,low,yes
2,r2,empty,low,yes

2,r1,empty,low,yes
2,r2,busy,high,no
2,r2,empty,high,yes
1,r2,empty,fill,no
2,r2,busy,high,no
2,r2,light,high,yes
2,r1,busy,low,no
1,r2,empty,high,yes
2,r2,empty,high,yes
2,r2,empty,low,yes
2,r2,empty,low,yes
2,r2,empty,low,yes
2,r1,light,low,no
2,r1,empty,low,yes
2,r2,light,high,yes
2,r2,empty,high,yes
2,r1,light,high,yes
2,r2,empty,low,yes
2,r2,light,low,no
2,r1,empty,high,yes
2,r2,empty,low,yes
2,r1,empty,high,yes
2,r2,empty,low,yes
2,r2,light,low,no
2,r2,empty,low,yes
1,r1,empty,fill,no
2,r2,light,low,no
2,r2,empty,low,yes
1,r1,busy,fill,no
2,r2,light,low,no
2,r2,empty,low,yes
2,r1,light,high,yes
2,r2,empty,low,yes
1,r2,light,fill,no
2,r2,empty,high,yes
1,r2,empty,fill,no
2,r2,empty,low,yes
2,r1,light,high,yes
2,r2,light,low,no
2,r2,empty,low,yes
2,r2,empty,low,yes
2,r2,light,low,no
2,r2,empty,low,yes
2,r2,light,high,yes
2,r2,light,high,yes
1,r2,empty,low,yes
2,r2,empty,low,yes
2,r1,light,low,no
2,r1,empty,low,yes
2,r1,light,high,yes
2,r2,empty,low,yes
2,r2,light,low,no
2,r2,empty,low,no
2,r2,empty,low,yes
2,r2,light,high,yes
