level,region,obstacle,visibility,streettype,feedback
1,r2,light,high,one_way,yes
2,r2,light,high,one_way,yes
2,r1,empty,low,two_way,yes
2,r1,light,high,two_way,yes
2,r2,empty,low,one_way,yes
2,r2,empty,low,one_way,yes
2,r1,empty,low,two_way,yes
2,r2,light,high,one_way,yes
2,r1,empty,high,two_way,yes
2,r2,empty,low,one_way,yes
1,r2,empty,low,one_way,yes
2,r2,empty,low,one_way,yes
2,r2,empty,high,one_way,yes
2,r2,empty,low,one_way,yes
2,r2,empty,low,one_way,yes
2,r2,empty,high,one_way,yes
2,r2,busy,low,one_way,no
2,r2,empty,low,one_way,yes
2,r1,empty,high,two_way,yes
2,r2,empty,low,one_way,yes
2,r1,busy,high,two_way,no
2,r1,busy,low,two_way,no
2,r1,light,low,two_way,no
2,r1,empty,low,two_way,yes
2,r2,empty,low,one_way,no
1,r1,light,high,two_way,yes
2,r1,light,high,two_way,yes
2,r2,busy,low,one_way,no
2,r2,empty,high,one_way,yes
2,r1,busy,high,two_way,no
2,r1,empty,high,two_way,yes
2,r2,busy,low,one_way,no
2,r2,busy,low,one_way,no
2,r2,empty,low,one_way,yes
2,r2,empty,low,one_way,yes
2,r2,empty,low,one_way,yes
2,r2,light,low,one_way,no
2,r1,light,high,two_way,yes
2,r1,light,low,two_way,no
2,r2,light,low,one_way,no
2,r2,empty,low,one_way,yes
2,r1,busy,high,two_way,no
2,r1,empty,high,two_way,yes
2,r2,light,low,one_way,no
2,r2,empty,low,one_way,yes
2,r1,empty,high,two_way,yes
1,r2,busy,low,one_way,no
2,r2,busy,low,one_way,no
1,r2,empty,high,one_way,yes
2,r2,empty,high,one_way,yes
1,r2,empty,low,one_way,yes
2,r2,empty,low,one_way,yes
2,r2,light,low,one_way,no
2,r2,empty,low,one_way,yes
2,r2,light,low,one_way,no
2,r2,empty,low,one_way,yes
2,r2,empty,low,one_way,yes
2,r2,light,high,one_way,yes
2,r2,empty,low,one_way,yes
2,r2,light,low,one_way,no
2,r2,empty,low,one_way,yes
1,r1,busy,low,two_way,no
2,r1,busy,low,two_way,no
2,r1,empty,high,two_way,yes
2,r2,empty,high,one_way,yes
2,r2,empty,low,one_way,yes
2,r1,light,low,two_way,no
2,r1,empty,low,two_way,yes
2,r2,empty,low,one_way,yes
2,r1,empty,high,two_way,yes
2,r2,empty,low,one_way,yes
2,r2,light,low,one_way,no
2,r2,empty,low,one_way,yes
2,r1,empty,high,two_way,yes
2,r2,light,low,one_way,no
2,r2,empty,low,one_way,yes
2,r2,light,low,one_way,no
2,r2,empty,low,one_way,yes
2,r2,light,high,one_way,yes
1,r2,light,low,one_way,no
2,r2,light,low,one_way,no
2,r2,empty,low,one_way,yes
2,r1,empty,low,two_way,yes
2,r1,light,high,two_way,yes
2,r1,empty,high,two_way,yes
2,r2,empty,low,one_way,yes
1,r2,light,low,one_way,no
2,r2,light,low,one_way,no
2,r2,empty,low,one_way,yes
2,r2,empty,high,one_way,yes
2,r2,light,high,one_way,yes
2,r2,light,low,one_way,no
2,r2,empty,low,one_way,yes
2,r2,empty,high,one_way,yes
2,r1,empty,low,two_way,yes
2,r1,empty,low,two_way,yes
2,r2,empty,low,one_way,yes
2,r1,light,high,two_way,yes
2,r2,light,low,one_way,no
2,r2,empty,low,one_way,yes
2,r2,light,low,one_way,no
2,r2,empty,low,one_way,yes
2,r1,empty,high,two_way,yes
2,r1,empty,high,two_way,yes
1,r2,light,low,one_way,no
2,r2,light,low,one_way,no
1,r2,empty,low,one_way,yes
2,r2,empty,low,one_way,yes
2,r2,empty,high,one_way,yes
2,r1,empty,low,two_way,yes
2,r2,empty,high,one_way,yes
2,r2,empty,high,one_way,yes
2,r2,empty,low,one_way,yes
2,r2,empty,low,one_way,yes
2,r1,light,high,two_way,yes
2,r2,empty,low,one_way,yes
2,r1,light,high,two_way,yes
2,r2,empty,low,one_way,yes
2,r2,light,low,one_way,no
2,r2,empty,low,one_way,yes
2,r1,light,low,two_way,no
2,r2,empty,high,one_way,yes
2,r1,light,low,two_way,no
2,r1,empty,low,two_way,yes
2,r2,empty,low,one_way,yes
2,r1,empty,high,two_way,yes
2,r2,empty,low,one_way,yes
2,r1,light,high,two_way,yes
2,r2,empty,high,one_way,yes
2,r2,empty,low,one_way,yes
2,r1,empty,high,two_way,yes
2,r2,empty,low,one_way,yes
2,r2,empty,low,one_way,yes
2,r2,empty,low,one_way,yes
2,r2,empty,low,one_way,yes
2,r1,empty,high,two_way,yes
2,r2,empty,low,one_way,yes
2,r2,empty,high,one_way,yes
2,r2,empty,low,one_way,yes
2,r2,empty,high,one_way,yes
2,r2,empty,high,one_way,yes
2,r2,empty,high,one_way,yes
2,r2,empty,low,one_way,yes
2,r1,light,high,two_way,no
2,r1,empty,high,two_way,yes
2,r2,empty,low,one_way,yes
2,r1,light,high,two_way,yes
2,r1,light,low,two_way,no
2,r1,light,high,two_way,yes
2,r1,empty,high,two_way,yes
2,r1,empty,high,two_way,yes
1,r2,empty,high,one_way,yes
2,r2,empty,high,one_way,yes
1,r2,empty,low,one_way,yes
2,r2,empty,low,one_way,yes
1,r1,light,high,two_way,yes
2,r1,light,high,two_way,yes
1,r2,empty,low,one_way,yes
2,r2,empty,low,one_way,yes
2,r1,light,high,two_way,yes
2,r1,light,high,two_way,yes
1,r1,light,high,two_way,yes
2,r1,light,high,two_way,yes
2,r1,light,high,two_way,yes
2,r1,light,high,two_way,yes
