level,region,obstacle,doortype,doorcolor,feedback
1,b1,door,light,brown,yes
2,b1,door,light,brown,yes
1,b1,door,medium,black,yes
2,b1,door,medium,black,yes
1,b1,door,light,brown,yes
2,b1,door,light,brown,yes
1,b1,door,light,brown,yes
2,b1,door,light,brown,yes
1,b1,door,light,brown,yes
2,b1,door,light,brown,yes
1,b1,door,medium,black,yes
2,b1,door,medium,black,yes
1,b1,door,light,brown,yes
2,b1,door,light,brown,yes
2,b1,door,heavy,blue,no
1,b3,door,light,blue,yes
2,b3,door,light,blue,yes
2,b1,door,light,brown,yes
1,b1,door,heavy,blue,no
2,b1,door,heavy,blue,no
2,b2,door,light,brown,yes
1,b1,door,light,brown,yes
2,b1,door,light,brown,yes
1,b1,door,heavy,blue,no
2,b1,door,heavy,blue,no
2,b3,door,light,red,yes
2,b3,door,light,blue,yes
2,b3,door,light,red,yes
1,b3,door,light,red,yes
2,b3,door,light,red,yes
1,b3,door,heavy,brown,no
2,b3,door,heavy,brown,no
1,b3,door,light,black,yes
2,b3,door,light,black,yes
2,b3,door,medium,black,no
2,b3,door,light,black,yes
2,b3,door,light,blue,yes
2,b3,door,light,red,yes
2,b2,door,light,brown,yes
2,b2,door,heavy,red,no
2,b3,door,light,red,yes
2,b3,door,light,black,yes
1,b2,door,light,red,yes
2,b2,door,light,red,yes
2,b2,door,heavy,red,no
1,b1,door,light,brown,yes
2,b1,door,light,brown,yes
1,b1,door,light,brown,no
2,b1,door,light,brown,no
1,b1,door,medium,black,no
2,b1,door,medium,black,no
2,b1,door,light,brown,yes
1,b1,door,medium,black,yes
2,b1,door,medium,black,yes
1,b1,door,light,brown,yes
2,b1,door,light,brown,yes
2,b1,door,light,brown,yes
1,b1,door,light,brown,yes
2,b1,door,light,brown,yes
2,b1,door,medium,black,yes
1,b1,door,light,brown,yes
2,b1,door,light,brown,yes
2,b1,door,heavy,blue,no
2,b3,door,light,red,yes
2,b3,door,light,black,yes
2,b3,door,light,black,yes
2,b3,door,light,blue,yes
2,b3,door,light,blue,yes
2,b1,door,light,brown,yes
2,b1,door,light,brown,yes
1,b1,door,light,brown,no
2,b1,door,light,brown,no
