level,region,obstacle,doorsize,feedback
1,b3,door,small,no
2,b3,door,small,no
1,b3,door,small,no
2,b3,door,small,no
1,b3,door,small,yes
2,b3,door,small,yes
1,b3,door,small,no
2,b3,door,small,no
2,b1,door,medium,yes
1,b3,door,small,no
2,b3,door,small,no
2,b3,door,small,yes
1,b3,door,small,yes
2,b3,door,small,yes
1,b3,door,small,no
2,b3,door,small,no
2,b3,door,small,yes
1,b3,door,small,no
2,b3,door,small,no
2,b3,door,small,yes
1,b3,door,small,yes
2,b3,door,small,yes
1,b2,door,small,no
2,b2,door,small,no
1,b3,door,small,no
2,b3,door,small,no
2,b3,door,small,yes
2,b3,door,small,no
2,b3,door,small,yes
1,b1,door,small,no
2,b1,door,small,no
1,b3,door,small,no
2,b3,door,small,no
1,b3,door,small,no
2,b3,door,small,no
1,b3,door,small,no
2,b3,door,small,no
2,b2,door,small,no
2,b1,door,small,yes
2,b1,door,medium,yes
1,b3,door,small,no
2,b3,door,small,no
1,b3,door,small,yes
2,b3,door,small,yes
1,b1,door,small,no
2,b1,door,small,no
2,b1,door,small,yes
2,b1,door,medium,yes
2,b1,door,small,yes
1,b1,door,small,no
2,b1,door,small,no
1,b1,door,medium,yes
2,b1,door,medium,yes
2,b1,door,small,yes
1,b1,door,small,no
2,b1,door,small,no
2,b3,door,small,no
1,b3,door,small,no
2,b3,door,small,no
2,b3,door,small,yes
2,b1,door,small,yes
2,b2,door,small,no
2,b3,door,small,no
2,b3,door,small,yes
1,b3,door,small,no
2,b3,door,small,no
2,b3,door,small,no
2,b3,door,small,no
2,b3,door,small,yes
2,b3,door,small,no
1,b2,door,small,no
2,b2,door,small,no
2,b1,door,small,no
2,b3,door,small,yes
2,b3,door,small,no
2,b2,door,small,no
1,b2,door,small,no
2,b2,door,small,no
2,b3,door,small,no
2,b3,door,small,yes
1,b3,door,small,no
2,b3,door,small,no
2,b3,door,small,yes
2,b3,door,small,no
1,b2,door,small,no
2,b2,door,small,no
2,b1,door,small,no
2,b2,door,small,no
2,b2,door,small,yes
2,b3,door,small,no
2,b3,door,small,yes
2,b3,door,small,no
2,b2,door,small,no
2,b2,door,large,no
2,b3,door,small,no
2,b1,door,small,no
2,b3,door,small,yes
2,b3,door,small,yes
2,b3,door,small,no
2,b1,door,small,no
2,b1,door,small,no
1,b1,door,medium,yes
2,b1,door,medium,yes
2,b1,door,small,yes
2,b3,door,small,no
2,b3,door,small,no
2,b3,door,small,yes
2,b2,door,large,no
2,b1,door,small,no
2,b3,door,large,no
2,b3,door,small,no
2,b3,door,large,no
1,b2,door,small,no
2,b2,door,small,no
2,b3,door,small,no
2,b3,door,small,yes
2,b3,door,small,no
2,b3,door,small,yes
2,b3,door,medium,no
2,b1,door,small,yes
2,b3,door,small,yes
2,b3,door,small,yes
2,b3,door,small,no
2,b1,door,large,no
2,b3,door,small,yes
2,b3,door,small,no
2,b3,door,small,no
2,b3,door,small,yes
2,b3,door,small,no
2,b1,door,small,yes
2,b1,door,small,yes
2,b3,door,small,no
2,b1,door,small,no
2,b3,door,small,no
2,b1,door,small,yes
2,b3,door,small,no
2,b3,door,small,no
2,b1,door,small,yes
2,b1,door,small,no
2,b1,door,small,no
2,b3,door,small,yes
2,b3,door,small,no
2,b3,door,small,no
2,b3,door,small,yes
