level,region,obstacle,doorsize,doorcolor,doortype,feedback
1,b3,door,small,red,pull,no
2,b3,door,small,red,pull,no
1,b3,door,small,black,pull,no
2,b3,door,small,black,pull,no
2,b3,door,small,blue,push,yes
1,b3,door,small,blue,pull,no
2,b3,door,small,blue,pull,no
2,b1,door,small,brown,push,yes
2,b1,door,medium,black,push,yes
1,b3,door,small,blue,pull,no
2,b3,door,small,blue,pull,no
2,b3,door,small,red,push,yes
2,b3,door,small,blue,push,yes
1,b3,door,small,brown,pull,no
2,b3,door,small,brown,pull,no
2,b3,door,small,red,push,yes
2,b3,door,small,blue,pull,no
2,b3,door,small,red,push,yes
1,b2,door,small,blue,pull,no
2,b2,door,small,blue,pull,no
1,b3,door,small,red,pull,no
2,b3,door,small,red,pull,no
2,b3,door,small,blue,push,yes
1,b3,door,small,red,pull,no
2,b3,door,small,red,pull,no
2,b3,door,small,blue,push,yes
2,b1,door,small,brown,pull,no
1,b3,door,small,red,pull,no
2,b3,door,small,red,pull,no
1,b3,door,small,black,pull,no
2,b3,door,small,black,pull,no
2,b3,door,small,brown,pull,no
2,b2,door,small,brown,pull,no
2,b1,door,small,brown,push,no
2,b3,door,small,blue,pull,no
2,b3,door,small,blue,push,yes
2,b1,door,small,brown,pull,no
2,b1,door,small,brown,push,yes
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b1,door,medium,black,push,yes
2,b1,door,small,brown,push,yes
2,b1,door,small,brown,pull,no
2,b3,door,small,blue,pull,yes
2,b3,door,small,red,pull,no
2,b3,door,small,red,push,yes
2,b3,door,large,brown,push,no
2,b1,door,small,brown,push,yes
2,b2,door,small,red,pull,no
2,b3,door,medium,black,push,no
2,b3,door,small,brown,pull,no
2,b3,door,large,brown,push,no
2,b3,door,medium,black,push,no
2,b3,door,small,black,pull,no
2,b2,door,small,brown,pull,yes
2,b2,door,large,red,push,no
2,b1,door,small,brown,pull,no
2,b3,door,medium,black,push,no
2,b3,door,small,blue,push,yes
2,b3,door,small,brown,pull,no
2,b2,door,small,red,pull,yes
2,b2,door,large,red,push,no
2,b2,door,small,red,push,yes
2,b2,door,medium,black,push,no
2,b3,door,medium,black,push,no
2,b3,door,small,red,push,yes
2,b3,door,small,black,pull,no
2,b3,door,large,brown,push,no
2,b2,door,small,blue,pull,no
2,b2,door,small,red,push,yes
2,b2,door,medium,black,push,no
2,b3,door,large,brown,push,no
2,b1,door,small,brown,pull,no
2,b2,door,small,red,pull,no
2,b2,door,small,red,push,yes
2,b1,door,small,brown,pull,no
2,b3,door,medium,black,push,no
2,b3,door,small,blue,push,yes
2,b3,door,large,brown,push,no
2,b2,door,small,brown,pull,no
2,b2,door,small,red,push,yes
2,b2,door,medium,black,push,no
2,b3,door,small,red,pull,no
2,b1,door,small,brown,pull,no
2,b3,door,small,red,push,yes
1,b3,door,small,blue,push,yes
2,b3,door,small,blue,push,yes
2,b3,door,small,blue,pull,no
2,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,push,yes
2,b1,door,small,brown,push,yes
2,b3,door,small,red,push,yes
2,b3,door,medium,black,push,no
2,b2,door,small,blue,pull,no
2,b1,door,small,brown,pull,no
2,b3,door,large,brown,push,no
2,b3,door,small,blue,push,yes
2,b3,door,large,brown,push,no
2,b3,door,large,brown,push,no
1,b2,door,small,red,pull,no
2,b2,door,small,red,pull,no
1,b3,door,small,blue,push,yes
2,b3,door,small,blue,push,yes
2,b3,door,medium,black,push,no
1,b3,door,small,blue,push,yes
2,b3,door,small,blue,push,yes
2,b3,door,small,red,push,yes
2,b3,door,small,red,pull,no
2,b3,door,small,red,pull,no
2,b3,door,large,brown,push,no
2,b2,door,small,blue,pull,no
2,b3,door,large,brown,push,no
2,b1,door,small,brown,push,yes
2,b1,door,medium,black,push,yes
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b3,door,large,brown,push,no
2,b3,door,large,brown,push,no
2,b3,door,small,red,push,yes
2,b3,door,small,red,pull,no
2,b3,door,small,blue,push,yes
2,b3,door,small,blue,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,medium,black,push,yes
2,b1,door,medium,black,push,yes
1,b1,door,small,brown,push,yes
2,b1,door,small,brown,push,yes
2,b3,door,medium,black,push,no
2,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b1,door,small,brown,push,yes
1,b1,door,medium,black,push,yes
2,b1,door,medium,black,push,yes
1,b1,door,small,brown,push,yes
2,b1,door,small,brown,push,yes
2,b3,door,small,red,push,yes
2,b3,door,small,blue,push,yes
2,b3,door,small,red,push,yes
2,b3,door,small,red,pull,no
2,b2,door,large,red,push,no
2,b2,door,small,blue,pull,no
1,b3,door,medium,black,push,no
2,b3,door,medium,black,push,no
2,b3,door,small,red,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,medium,black,push,yes
2,b1,door,medium,black,push,yes
1,b1,door,small,brown,push,yes
2,b1,door,small,brown,push,yes
1,b3,door,small,red,push,yes
2,b3,door,small,red,push,yes
1,b3,door,small,blue,push,yes
2,b3,door,small,blue,push,yes
2,b3,door,small,red,push,yes
2,b3,door,small,red,pull,no
2,b3,door,large,brown,push,yes
2,b1,door,large,blue,push,no
2,b1,door,small,brown,push,yes
2,b1,door,medium,black,push,yes
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,push,yes
2,b1,door,small,brown,push,yes
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b3,door,small,red,push,yes
2,b3,door,large,brown,push,no
2,b3,door,large,brown,push,yes
2,b1,door,small,brown,push,yes
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b3,door,large,brown,push,no
2,b3,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,medium,black,push,yes
2,b1,door,medium,black,push,yes
2,b1,door,small,brown,push,yes
2,b2,door,small,brown,pull,no
2,b3,door,large,brown,push,no
2,b3,door,large,brown,push,no
2,b1,door,small,brown,push,yes
1,b2,door,small,blue,pull,no
2,b2,door,small,blue,pull,no
1,b2,door,small,blue,pull,no
2,b2,door,small,blue,pull,no
2,b3,door,small,red,push,yes
2,b3,door,small,black,pull,no
1,b2,door,small,brown,pull,no
2,b2,door,small,brown,pull,no
1,b2,door,small,blue,pull,no
2,b2,door,small,blue,pull,no
2,b3,door,small,red,push,yes
2,b3,door,large,brown,push,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b2,door,small,blue,pull,no
2,b2,door,small,blue,pull,no
1,b2,door,small,blue,pull,no
2,b2,door,small,blue,pull,no
1,b1,door,small,brown,push,yes
2,b1,door,small,brown,push,yes
1,b1,door,medium,black,push,yes
2,b1,door,medium,black,push,yes
2,b3,door,small,blue,push,yes
2,b3,door,small,red,push,yes
2,b3,door,small,red,pull,no
2,b3,door,large,brown,push,no
2,b3,door,large,brown,push,no
2,b2,door,large,blue,push,no
2,b3,door,small,red,push,yes
2,b3,door,large,brown,push,no
2,b3,door,small,red,push,yes
2,b3,door,small,red,pull,no
2,b2,door,small,red,pull,no
2,b3,door,small,blue,push,yes
2,b3,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,medium,black,push,yes
2,b1,door,medium,black,push,yes
2,b1,door,small,brown,push,yes
2,b3,door,large,brown,push,no
2,b1,door,medium,black,push,yes
2,b2,door,large,red,push,no
2,b1,door,small,brown,pull,no
1,b1,door,medium,black,push,yes
2,b1,door,medium,black,push,yes
2,b1,door,small,brown,push,yes
2,b3,door,small,red,push,yes
2,b3,door,small,black,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,medium,black,push,yes
2,b1,door,medium,black,push,yes
1,b1,door,small,brown,push,yes
2,b1,door,small,brown,push,yes
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b3,door,small,blue,push,yes
2,b3,door,small,blue,push,yes
2,b3,door,small,blue,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,medium,black,push,yes
2,b1,door,medium,black,push,yes
1,b1,door,small,brown,push,yes
2,b1,door,small,brown,push,yes
2,b3,door,large,brown,push,no
2,b1,door,small,brown,pull,no
2,b3,door,large,brown,push,no
2,b3,door,large,brown,push,no
2,b1,door,medium,black,push,yes
2,b3,door,small,blue,pull,no
2,b3,door,small,red,pull,no
2,b1,door,small,brown,pull,no
2,b3,door,large,brown,push,no
2,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,medium,black,push,yes
2,b1,door,medium,black,push,yes
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b1,door,small,brown,push,yes
2,b1,door,large,blue,push,no
2,b3,door,small,red,pull,no
2,b1,door,large,blue,push,no
2,b3,door,small,blue,push,yes
2,b3,door,small,black,pull,no
2,b3,door,large,brown,push,no
2,b3,door,small,red,pull,no
2,b3,door,small,red,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b1,door,medium,black,push,yes
1,b1,door,small,brown,push,yes
2,b1,door,small,brown,push,yes
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b1,door,large,blue,push,no
2,b3,door,medium,black,push,no
2,b3,door,small,blue,push,yes
2,b3,door,large,brown,push,no
1,b3,door,large,brown,push,no
2,b3,door,large,brown,push,no
2,b3,door,large,brown,push,no
2,b3,door,small,red,push,yes
2,b3,door,large,brown,push,no
2,b3,door,small,black,pull,no
2,b2,door,small,red,push,yes
2,b2,door,small,brown,pull,no
2,b2,door,small,red,push,yes
2,b2,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,medium,black,push,yes
2,b1,door,medium,black,push,yes
1,b1,door,small,brown,push,no
2,b1,door,small,brown,push,no
2,b2,door,large,blue,push,no
2,b1,door,large,blue,push,no
2,b3,door,medium,black,push,no
2,b2,door,small,red,push,yes
2,b3,door,small,red,push,yes
2,b3,door,large,brown,push,no
2,b2,door,medium,black,push,no
2,b1,door,large,blue,push,no
2,b3,door,large,brown,push,no
2,b3,door,small,blue,push,yes
2,b3,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b3,door,small,red,push,yes
2,b3,door,small,red,pull,no
2,b3,door,small,black,pull,no
2,b3,door,small,red,pull,no
2,b3,door,small,blue,push,yes
2,b3,door,small,red,pull,no
2,b1,door,small,brown,push,yes
2,b1,door,medium,black,push,yes
2,b3,door,small,blue,push,yes
2,b3,door,large,brown,push,no
2,b1,door,large,blue,push,no
2,b3,door,medium,black,push,no
2,b3,door,small,blue,push,yes
1,b3,door,small,red,push,yes
2,b3,door,small,red,push,yes
2,b3,door,small,black,pull,no
2,b3,door,small,blue,push,yes
2,b3,door,small,blue,pull,no
2,b1,door,small,brown,pull,no
2,b3,door,large,brown,push,no
2,b1,door,small,brown,push,yes
2,b1,door,medium,black,push,yes
2,b3,door,small,blue,push,yes
2,b3,door,small,black,pull,no
2,b3,door,small,red,push,yes
2,b3,door,small,red,pull,no
2,b3,door,small,blue,push,yes
2,b3,door,medium,black,push,no
2,b3,door,small,red,push,yes
2,b3,door,small,blue,push,yes
2,b3,door,small,blue,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,push,yes
2,b1,door,small,brown,push,yes
2,b3,door,large,brown,push,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,push,yes
2,b1,door,small,brown,push,yes
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b1,door,medium,black,push,yes
1,b1,door,small,brown,push,yes
2,b1,door,small,brown,push,yes
2,b1,door,large,blue,push,no
2,b1,door,medium,black,push,yes
2,b1,door,small,brown,pull,no
2,b2,door,small,red,push,yes
2,b2,door,small,red,pull,no
2,b1,door,small,brown,pull,no
2,b1,door,small,brown,push,yes
2,b1,door,medium,black,push,yes
2,b3,door,medium,black,push,yes
1,b3,door,small,red,push,yes
2,b3,door,small,red,push,yes
2,b3,door,small,red,pull,no
2,b3,door,large,brown,push,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,medium,black,push,yes
2,b1,door,medium,black,push,yes
2,b3,door,large,brown,push,no
2,b3,door,large,brown,push,yes
2,b1,door,large,blue,push,no
2,b1,door,large,blue,push,no
2,b1,door,small,brown,push,yes
2,b3,door,small,red,pull,no
2,b3,door,small,red,push,yes
2,b3,door,small,blue,push,yes
2,b3,door,small,blue,pull,no
2,b3,door,large,brown,push,no
2,b1,door,small,brown,pull,no
2,b1,door,medium,black,push,yes
1,b1,door,small,brown,push,yes
2,b1,door,small,brown,push,yes
2,b3,door,large,brown,push,no
2,b2,door,small,blue,pull,yes
2,b3,door,small,red,push,no
2,b3,door,medium,black,push,no
2,b3,door,small,blue,push,yes
2,b1,door,large,blue,push,no
2,b1,door,small,brown,push,yes
2,b1,door,medium,black,push,yes
2,b3,door,large,brown,push,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b3,door,large,brown,push,no
2,b3,door,small,black,pull,yes
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b3,door,large,brown,push,no
1,b3,door,small,blue,push,yes
2,b3,door,small,blue,push,yes
1,b3,door,small,blue,pull,no
2,b3,door,small,blue,pull,no
2,b3,door,small,red,push,yes
2,b3,door,small,red,pull,no
2,b3,door,large,brown,push,no
2,b1,door,medium,black,push,yes
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
2,b3,door,large,brown,push,no
2,b1,door,small,brown,pull,no
2,b1,door,medium,black,push,yes
2,b1,door,small,brown,push,yes
1,b1,door,large,blue,push,no
2,b1,door,large,blue,push,no
2,b1,door,small,brown,push,yes
1,b1,door,medium,black,push,yes
2,b1,door,medium,black,push,yes
2,b3,door,small,blue,push,yes
2,b3,door,small,blue,pull,no
2,b2,door,small,blue,pull,no
2,b1,door,large,blue,push,no
2,b1,door,large,blue,push,no
2,b1,door,small,brown,push,yes
2,b1,door,medium,black,push,yes
2,b3,door,small,black,pull,no
2,b3,door,small,red,push,yes
2,b3,door,small,black,pull,no
2,b2,door,small,brown,pull,no
2,b3,door,large,brown,push,no
2,b3,door,small,red,push,yes
2,b3,door,small,red,pull,no
2,b3,door,small,blue,pull,no
2,b3,door,small,red,pull,no
