level,region,obstacle,visibility,feedback
1,r1,busy,high,no
1,r1,light,high,yes
1,r1,busy,high,no
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,empty,high,yes
2,r1,empty,high,yes
1,r1,empty,high,yes
1,r1,light,high,yes
2,r1,light,high,no
1,r1,empty,high,yes
2,r1,light,high,yes
2,r1,busy,high,no
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
2,r1,busy,high,no
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
2,r1,busy,high,no
1,r1,light,high,yes
2,r1,busy,high,no
1,r1,light,high,yes
2,r1,busy,high,no
1,r1,light,high,no
1,r1,empty,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,busy,high,no
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,busy,high,no
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,empty,high,yes
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,empty,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,empty,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,empty,high,yes
1,r1,empty,high,yes
1,r1,light,high,yes
2,r1,empty,high,yes
1,r1,busy,high,no
1,r1,light,high,yes
1,r1,light,high,yes
1,r1,light,high,yes
2,r1,light,high,yes
2,r1,empty,high,yes
2,r1,light,high,yes
1,r1,busy,high,no
2,r1,light,high,yes
2,r1,busy,high,no
2,r1,light,high,yes
2,r1,light,high,no
2,r1,empty,high,yes
2,r1,busy,high,no
2,r1,busy,high,no
2,r1,empty,high,yes
