level,region,obstacle,feedback
1,b1,door-open,yes
1,b1,door-open,no
1,b1,door-closed,yes
1,b1,door-closed,no
1,b2,door-open,yes
1,b2,door-open,no
1,b2,door-closed,yes
1,b2,door-closed,no
1,b3,door-open,yes
1,b3,door-open,no
1,b3,door-closed,yes
1,b3,door-closed,no
2,b1,door-open,yes
2,b1,door-open,no
2,b1,door-closed,yes
2,b1,door-closed,no
2,b2,door-open,yes
2,b2,door-open,no
2,b2,door-closed,yes
2,b2,door-closed,no
2,b3,door-open,yes
2,b3,door-open,no
2,b3,door-closed,yes
2,b3,door-closed,no
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
2,b1,door-closed,no
2,b1,door-closed,no
1,b1,door-closed,yes
1,b1,door-closed,yes
2,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
2,b1,door-closed,yes
2,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,no
1,b1,door-closed,yes
1,b1,door-closed,yes
2,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
2,b1,door-closed,yes
1,b1,door-closed,yes
2,b1,door-closed,yes
1,b1,door-closed,yes
2,b1,door-closed,no
2,b1,door-closed,no
2,b1,door-closed,no
2,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
2,b1,door-closed,no
2,b1,door-closed,no
2,b1,door-closed,no
2,b1,door-closed,yes
1,b1,door-closed,yes
2,b1,door-closed,no
1,b1,door-closed,yes
2,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
2,b1,door-closed,no
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
1,b1,door-closed,yes
2,b1,door-closed,no
