level,region,obstacle,doorsize,doorcolor,doortype,feedback
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,pull,yes
2,b1,door,small,brown,pull,yes
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
1,b1,door,small,brown,pull,no
2,b1,door,small,brown,pull,no
