level,obstacle,doorid,doortype,feedback
level1,door,door4,pull,no
level2,door,door4,pull,no
level1,door,door4,pull,no
level2,door,door4,pull,no
level1,door,door2,push,yes
level2,door,door2,push,yes
level1,door,door1,push,yes
level2,door,door1,push,yes
level1,door,door2,push,yes
level2,door,door2,push,yes
level1,door,door1,push,no
level2,door,door1,push,no
level1,door,door2,push,yes
level2,door,door2,push,yes
level1,door,door1,push,yes
level2,door,door1,push,yes
level1,door,door2,push,yes
level2,door,door2,push,yes
level1,door,door1,push,yes
level2,door,door1,push,yes
level1,door,door2,push,yes
level2,door,door2,push,yes
level1,door,door1,push,yes
level2,door,door1,push,yes
level2,door,door4,pull,no
level1,door,door4,pull,no
level2,door,door2,push,yes
level2,door,door1,push,yes

level1,door,door4,pull,no
level2,door,door4,pull,no
level1,door,door4,pull,no
level2,door,door4,pull,no
level1,door,door4,pull,no
level2,door,door4,pull,no
level1,door,door4,pull,no
level2,door,door4,pull,no
level1,door,door4,pull,no
level2,door,door4,pull,no
level1,door,door4,pull,no
level2,door,door4,pull,no
level1,door,door4,pull,no
level2,door,door4,pull,no
level1,door,door4,pull,no
level2,door,door4,pull,no
level2,door,door2,push,yes
level2,door,door1,push,yes
level2,door,door2,push,yes
level2,door,door1,push,yes
level2,door,door2,push,yes
level2,door,door1,push,yes
level2,door,door3,pull,no
level1,door,door4,pull,no
level2,door,door4,pull,no
level1,door,door4,pull,no
level2,door,door4,pull,no
level2,door,door4,pull,no
level2,door,door3,pull,no
level2,door,door4,pull,no
level1,door,door4,pull,no
level2,door,door3,pull,no
level1,door,door4,pull,yes
level2,door,door3,pull,no
level1,door,door4,pull,no
level2,door,door4,pull,no
level1,door,door4,pull,no
level2,door,door3,pull,no
level2,door,door4,pull,no
