level,obstacle,doorid,doortype,doorcolor,feedback
level1,door,door4,pull,brown,no
level2,door,door4,pull,brown,no
level1,door,door4,pull,brown,no
level2,door,door4,pull,brown,no
level1,door,door2,push,brown,yes
level2,door,door2,push,brown,yes
level1,door,door1,push,brown,yes
level2,door,door1,push,brown,yes
level1,door,door2,push,brown,yes
level2,door,door2,push,brown,yes
level1,door,door1,push,brown,no
level2,door,door1,push,brown,no
level1,door,door2,push,brown,yes
level2,door,door2,push,brown,yes
level1,door,door1,push,brown,yes
level2,door,door1,push,brown,yes
level1,door,door2,push,brown,yes
level2,door,door2,push,brown,yes
level1,door,door1,push,brown,yes
level2,door,door1,push,brown,yes
level1,door,door2,push,brown,yes
level2,door,door2,push,brown,yes
level1,door,door1,push,brown,yes
level2,door,door1,push,brown,yes
level2,door,door4,pull,brown,no
level1,door,door4,pull,brown,no
level2,door,door2,push,brown,yes
level2,door,door1,push,brown,yes
level1,door,door4,pull,brown,no
level2,door,door4,pull,brown,no
level1,door,door4,pull,brown,no
level2,door,door4,pull,brown,no
level1,door,door4,pull,brown,no
level2,door,door4,pull,brown,no
level1,door,door4,pull,brown,no
level2,door,door4,pull,brown,no
level1,door,door4,pull,brown,no
level2,door,door4,pull,brown,no
level1,door,door4,pull,brown,no
level2,door,door4,pull,brown,no
level1,door,door4,pull,brown,no
level2,door,door4,pull,brown,no
level1,door,door4,pull,brown,no
level2,door,door4,pull,brown,no
level2,door,door2,push,brown,yes
level2,door,door1,push,brown,yes
level2,door,door2,push,brown,yes
level2,door,door1,push,brown,yes
level2,door,door2,push,brown,yes
level2,door,door1,push,brown,yes
level2,door,door3,pull,brown,no
level1,door,door4,pull,brown,no
level2,door,door4,pull,brown,no
level1,door,door4,pull,brown,no
level2,door,door4,pull,brown,no
level2,door,door4,pull,brown,no
level2,door,door3,pull,brown,no
level2,door,door4,pull,brown,no
level1,door,door4,pull,brown,no
level2,door,door3,pull,brown,no
level1,door,door4,pull,brown,yes
level2,door,door3,pull,brown,no
level1,door,door4,pull,brown,no
level2,door,door4,pull,brown,no
level1,door,door4,pull,brown,no
level2,door,door3,pull,brown,no
level2,door,door4,pull,brown,no
