level,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,no
1,b2,door,no
2,b2,door,no
1,b2,door,yes
2,b2,door,yes
1,b2,door,no
2,b2,door,no
1,b2,door,no
2,b2,door,no
1,b1,door,no
2,b1,door,no
1,b1,door,yes
2,b1,door,yes
2,b1,door,no
1,b1,door,no
2,b1,door,no
2,b1,door,no
2,b2,door,no
2,b2,door,no
1,b1,door,no
2,b1,door,no
1,b1,door,yes
2,b1,door,yes
1,b1,door,yes
2,b1,door,yes
1,b1,door,no
2,b1,door,no
1,b1,door,no
2,b1,door,no
1,b1,door,yes
2,b1,door,yes
1,b1,door,yes
2,b1,door,yes
2,b1,door,no
1,b1,door,no
2,b1,door,no
2,b1,door,yes
2,b1,door,yes
2,b1,door,no
1,b1,door,no
2,b1,door,no
1,b1,door,no
2,b1,door,no
1,b1,door,no
2,b1,door,no
2,b1,door,yes
2,b1,door,yes
2,b1,door,no
1,b1,door,no
2,b1,door,no
2,b1,door,yes
2,b1,door,yes
2,b1,door,no
