level,x,y,obstacle,doortype,doorcolor,feedback
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,5,4,door,pull,brown,no
level2,5,4,door,pull,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,5,4,door,pull,brown,no
level2,5,4,door,pull,brown,no
level1,5,4,door,pull,brown,no
level2,5,4,door,pull,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,5,4,door,pull,brown,no
level2,5,4,door,pull,brown,no
level1,5,4,door,pull,brown,no
level2,5,4,door,pull,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,5,4,door,pull,brown,no
level2,5,4,door,pull,brown,no
level1,5,4,door,pull,brown,no
level2,5,4,door,pull,brown,no
level1,5,4,door,pull,brown,no
level2,5,4,door,pull,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,5,4,door,pull,brown,no
level2,5,4,door,pull,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,5,4,door,pull,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,5,4,door,pull,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,5,4,door,pull,brown,no
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,5,4,door,pull,brown,no
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,no
level2,5,4,door,pull,brown,no
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,5,4,door,pull,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,5,4,door,pull,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,5,4,door,pull,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,5,4,door,pull,brown,no
level2,5,4,door,pull,brown,no
level2,5,4,door,pull,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,5,4,door,pull,brown,no
level2,5,4,door,pull,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,4,door,pull,brown,no
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,4,door,pull,brown,no
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,4,door,pull,brown,no
level2,3,4,door,pull,brown,no
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,no
level2,3,2,door,push,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,4,door,pull,brown,no
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,no
level2,3,2,door,push,brown,no
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,3,2,door,push,brown,yes
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,2,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,4,door,pull,brown,no
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,no
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,3,4,door,pull,brown,no
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level1,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
level2,1,4,door,push,brown,yes
